center_x,center_y,left_x,left_y,right_x,right_y,left_center_x,left_center_y,right_center_x,right_center_y,road_speed,rightcenter_cur,leftcenter_cur,in_bend
402.11666923686,-241.53824841764,402.019427077235,-237.789509434676,402.213911396485,-245.286987400604,402.068048157047,-239.663878926158,402.165290316673,-243.412617909122,9.87287082749269,0,0,1
402.616501101255,-241.525282796357,402.51925894163,-237.776543813393,402.71374326088,-245.27402177932,402.567880021443,-239.650913304875,402.665122181068,-243.399652287839,9.89357179249832,0,0,1
403.11633296565,-241.512317175073,403.019090806025,-237.76357819211,403.213575125276,-245.261056158037,403.067711885838,-239.637947683592,403.164954045463,-243.386686666555,9.91422953387103,0,0,1
403.616164830045,-241.49935155379,403.518922670421,-237.750612570826,403.71340698967,-245.248090536754,403.567543750233,-239.624982062308,403.664785909858,-243.373721045272,9.9348443212384,0,0,1
404.115996694441,-241.486385932507,404.018754534816,-237.737646949543,404.213238854066,-245.23512491547,404.067375614628,-239.612016441025,404.164617774253,-243.360755423989,9.95541642143637,0,0,1
404.615828558836,-241.473420311223,404.518586399211,-237.72468132826,404.713070718461,-245.222159294187,404.567207479023,-239.599050819742,404.664449638648,-243.347789802705,9.97594609854961,0,0,1
405.115660423231,-241.46045468994,405.018418263606,-237.711715706976,405.212902582856,-245.209193672904,405.067039343418,-239.586085198458,405.164281503044,-243.334824181422,9.996433613951,0,0,1
405.615492287626,-241.447489068657,405.518250128001,-237.698750085693,405.712734447251,-245.19622805162,405.566871207814,-239.573119577175,405.664113367439,-243.321858560139,10.0168792263405,0,0,1
406.115324152021,-241.434523447373,406.018081992396,-237.68578446441,406.212566311646,-245.183262430337,406.066703072209,-239.560153955892,406.163945231834,-243.308892938855,10.0372831917832,0,0,1
406.615156016416,-241.42155782609,406.517913856791,-237.672818843126,406.712398176041,-245.170296809054,406.566534936604,-239.547188334608,406.663777096229,-243.295927317572,10.0576457637469,0,0,1
407.114987880811,-241.408592204807,407.017745721186,-237.659853221843,407.212230040437,-245.15733118777,407.066366800999,-239.534222713325,407.163608960624,-243.282961696289,10.0779671931386,0,0,1
407.614819745207,-241.395626583523,407.517577585582,-237.64688760056,407.712061904832,-245.144365566487,407.566198665394,-239.521257092042,407.663440825019,-243.269996075005,10.0982477283408,0,0,1
408.114651609602,-241.38266096224,408.017409449977,-237.633921979276,408.211893769227,-245.131399945204,408.066030529789,-239.508291470758,408.163272689414,-243.257030453722,10.1184876152468,0,0,1
408.614483473997,-241.369695340957,408.517241314372,-237.620956357993,408.711725633622,-245.11843432392,408.565862394185,-239.495325849475,408.663104553809,-243.244064832439,10.1386870972954,0,0,1
409.114315338392,-241.356729719673,409.017073178767,-237.60799073671,409.211557498017,-245.105468702637,409.06569425858,-239.482360228192,409.162936418205,-243.231099211155,10.1588464155054,0,0,1
409.614147202787,-241.34376409839,409.516905043162,-237.595025115426,409.711389362412,-245.092503081354,409.565526122975,-239.469394606908,409.6627682826,-243.218133589872,10.1789658085087,0,0,1
410.113979067182,-241.330798477107,410.016736907557,-237.582059494143,410.211221226808,-245.07953746007,410.06535798737,-239.456428985625,410.162600146995,-243.205167968589,10.1990455125836,0,0,1
410.613810931578,-241.317832855823,410.516568771953,-237.56909387286,410.711053091202,-245.066571838787,410.565189851765,-239.443463364342,410.66243201139,-243.192202347305,10.219085761687,0,0,1
411.113642795973,-241.30486723454,411.016400636348,-237.556128251576,411.210884955598,-245.053606217504,411.06502171616,-239.430497743058,411.162263875785,-243.179236726022,10.2390867874863,0,0,1
411.613474660368,-241.291901613257,411.516232500743,-237.543162630293,411.710716819993,-245.04064059622,411.564853580555,-239.417532121775,411.66209574018,-243.166271104739,10.2590488193905,0,0,1
